ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-12,8427.704593780001,8242.820577362323,9612.494185276557,8427.704593780001,8427.704593780001,532.1386781214804,532.1386781214804,532.1386781214804,218.76751542439072,218.76751542439072,218.76751542439072,313.37116269708963,313.37116269708963,313.37116269708963,0.0,0.0,0.0,8959.843271901482
2023-01-22,8410.001800327858,7346.4237414079225,8735.548412697637,8410.001800327858,8410.001800327858,-403.08569172087635,-403.08569172087635,-403.08569172087635,108.83944472875422,108.83944472875422,108.83944472875422,-511.9251364496307,-511.9251364496307,-511.9251364496307,0.0,0.0,0.0,8006.916108606982
2023-01-23,8408.231520982645,7269.242933690878,8672.890242909414,8408.231520982645,8408.231520982645,-419.7426069766507,-419.7426069766507,-419.7426069766507,135.6646311459643,135.6646311459643,135.6646311459643,-555.407238122615,-555.407238122615,-555.407238122615,0.0,0.0,0.0,7988.488914005994
2023-01-24,8406.46124163743,7370.163502901583,8696.79774974731,8406.46124163743,8406.46124163743,-390.96722667563245,-390.96722667563245,-390.96722667563245,201.03915772090122,201.03915772090122,201.03915772090122,-592.0063843965337,-592.0063843965337,-592.0063843965337,0.0,0.0,0.0,8015.494014961797
2023-01-25,8404.690962292216,7288.832417500618,8701.65445847579,8404.690962292216,8404.690962292216,-388.6271280979887,-388.6271280979887,-388.6271280979887,233.4713864377234,233.4713864377234,233.4713864377234,-622.0985145357122,-622.0985145357122,-622.0985145357122,0.0,0.0,0.0,8016.063834194227
2023-01-29,8397.60984491136,7140.195513055177,8520.292040447246,8397.60984491136,8397.60984491136,-578.3467200594757,-578.3467200594757,-578.3467200594757,108.83944472914096,108.83944472914096,108.83944472914096,-687.1861647886167,-687.1861647886167,-687.1861647886167,0.0,0.0,0.0,7819.263124851884
2023-01-30,8395.839565566146,7102.808057384535,8493.450967029064,8395.839565566146,8395.839565566146,-556.801611787804,-556.801611787804,-556.801611787804,135.6646311448982,135.6646311448982,135.6646311448982,-692.4662429327021,-692.4662429327021,-692.4662429327021,0.0,0.0,0.0,7839.037953778342
2023-01-31,8394.06928622093,7197.311992172454,8655.673534438154,8394.06928622093,8394.06928622093,-493.5172612929174,-493.5172612929174,-493.5172612929174,201.03915772032906,201.03915772032906,201.03915772032906,-694.5564190132465,-694.5564190132465,-694.5564190132465,0.0,0.0,0.0,7900.552024928013
2023-02-01,8392.299006875717,7232.946014152155,8609.48185102664,8392.299006875717,8392.299006875717,-460.5887073813126,-460.5887073813126,-460.5887073813126,233.4713864371311,233.4713864371311,233.4713864371311,-694.0600938184436,-694.0600938184436,-694.0600938184436,0.0,0.0,0.0,7931.710299494404
2023-02-02,8390.528727530504,7175.265380880196,8564.740078235574,8390.528727530504,8390.528727530504,-472.7929938860982,-472.7929938860982,-472.7929938860982,218.76751542452996,218.76751542452996,218.76751542452996,-691.5605093106282,-691.5605093106282,-691.5605093106282,0.0,0.0,0.0,7917.735733644406
2023-02-05,8385.217889494861,7125.814876751137,8495.47214845217,8385.217889494861,8385.217889494861,-568.5081931087665,-568.5081931087665,-568.5081931087665,108.83944473023763,108.83944473023763,108.83944473023763,-677.3476378390039,-677.3476378390039,-677.3476378390039,0.0,0.0,0.0,7816.709696386095
2023-02-06,8383.447610149648,7194.162898243463,8561.895471423566,8383.447610149648,8383.447610149648,-536.2382714738227,-536.2382714738227,-536.2382714738227,135.66463114525214,135.66463114525214,135.66463114525214,-671.9029026190748,-671.9029026190748,-671.9029026190748,0.0,0.0,0.0,7847.209338675825
